,etiquetaoriginal,tweet,tweetF,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,TweetNeutro,TweetPositivo,TweetNegativo,
912,P,"@Sakura_Abril Ow  Bueno, no pasa nada, cuando puedas confirmarlo, estoy aquí Y si no pudieras de cosplay pero sí a la expo, +","['', 'Sakura', 'Abril', 'Ow', 'Bueno', 'no', 'pasa', 'nada', 'cuando', 'puedas', 'confirmarlo', 'estoy', 'aquí', 'Y', 'si', 'no', 'pudieras', 'de', 'cosplay', 'pero', 'sí', 'a', 'la', 'expo', '']",0,0.043478261,0,0,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,0.043478261,1,0,0,0
913,N,Es que es de los abiertos y no lo puedo llevar a clase porque no pudo dejarlo en el asiento que se cae todo ,"['Es', 'que', 'es', 'de', 'los', 'abiertos', 'y', 'no', 'lo', 'puedo', 'llevar', 'a', 'clase', 'porque', 'no', 'pudo', 'dejarlo', 'en', 'el', 'asiento', 'que', 'se', 'cae', 'todo']",0,0,0,0,0.041666667,0,0.041666667,0,0,0.041666667,0,1,0,0
914,N,"@MonchoYT @JonathanFaus2 estoy cansado ya de salir a la calle y que todo el mundo me para para hacer fotos, esta vida es muy dura ","['', 'MonchoYT', 'JonathanFaus2', 'estoy', 'cansado', 'ya', 'de', 'salir', 'a', 'la', 'calle', 'y', 'que', 'todo', 'el', 'mundo', 'me', 'para', 'para', 'hacer', 'fotos', 'esta', 'vida', 'es', 'muy', 'dura']",0,0.04,0,0,0,0.08,0.04,0.12,0,0,0,0,1,1
915,NEU,#ide el primer día de clase voy a proyectar una de estas fotografías y voy a pedir información sobre foto y autor A ver cómo resuelven ,"['', 'ide', 'el', 'primer', 'día', 'de', 'clase', 'voy', 'a', 'proyectar', 'una', 'de', 'estas', 'fotografías', 'y', 'voy', 'a', 'pedir', 'información', 'sobre', 'foto', 'y', 'autor', 'A', 'ver', 'cómo', 'resuelven']",0.038461538,0.038461538,0.038461538,0.076923077,0.038461538,0.038461538,0.076923077,0.038461538,0,0.076923077,0,1,0,0
916,N,Soy el unico al que le da mal rollo la gente con gafas de sol? es que no sabes si te está mirando o no y pues ,"['Soy', 'el', 'unico', 'al', 'que', 'le', 'da', 'mal', 'rollo', 'la', 'gente', 'con', 'gafas', 'de', 'sol', 'es', 'que', 'no', 'sabes', 'si', 'te', 'está', 'mirando', 'o', 'no', 'y', 'pues']",0.037037037,0.037037037,0.037037037,0.037037037,0.037037037,0.074074074,0.037037037,0.037037037,0.037037037,0.037037037,0,0,1,1
917,N,Más de lo mismo...esport3 dando un partido de 2ª B entre #rcde y valencia y no se cortan un pelo en decir que el far$a marca en Bilbao ,"['Más', 'de', 'lo', 'mismo', 'esport3', 'dando', 'un', 'partido', 'de', '2ª', 'B', 'entre', 'rcde', 'y', 'valencia', 'y', 'no', 'se', 'cortan', 'un', 'pelo', 'en', 'decir', 'que', 'el', 'far', 'a', 'marca', 'en', 'Bilbao']",0,0,0,0,0,0,0.033333333,0,0,0.033333333,0,1,0,0
918,P,@LGuillermodePab hay que ser optimistas ,"['', 'LGuillermodePab', 'hay', 'que', 'ser', 'optimistas']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
919,NEU,@imdariusb1tches es que que hacen tio ,"['', 'imdariusb1tches', 'es', 'que', 'que', 'hacen', 'tio']",0,0,0,0,0,0,0,0,0,0,1,0,0,1
920,P,@Davorias Pero es que está muy rica ,"['', 'Davorias', 'Pero', 'es', 'que', 'está', 'muy', 'rica']",0,0,0,0,0,0.142857143,0,0.142857143,0,0,0,0,1,0
921,N,Me estoy muriendo de lo malo que estoy ,"['Me', 'estoy', 'muriendo', 'de', 'lo', 'malo', 'que', 'estoy']",0.125,0,0.125,0.125,0,0.125,0,0.125,0,0,0,0,1,1
922,P,@amartino @yagoperrin los dos amigos menos quejicas que tengo ,"['', 'amartino', 'yagoperrin', 'los', 'dos', 'amigos', 'menos', 'quejicas', 'que', 'tengo']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
923,N,@WINTERSCLIFF0RD ni tu como soportas el calor sevillano hija mía ,"['', 'WINTERSCLIFF0RD', 'ni', 'tu', 'como', 'soportas', 'el', 'calor', 'sevillano', 'hija', 'mía']",0,0,0,0,0.1,0,0.1,0,0,0,0,1,0,0
924,P,Estoy preparando muchas cosas para que el especial sea muy especial ,"['Estoy', 'preparando', 'muchas', 'cosas', 'para', 'que', 'el', 'especial', 'sea', 'muy', 'especial']",0,0,0,0,0.181818182,0.090909091,0.181818182,0.090909091,0,0,0,1,0,1
925,P,"@eloycanovas jajaja! genial, te deseo lo mismo  los días se construyen, verdad?","['', 'eloycanovas', 'jajaja', 'genial', 'te', 'deseo', 'lo', 'mismo', 'los', 'días', 'se', 'construyen', 'verdad', '']",0,0,0,0,0.083333333,0,0.166666667,0,0,0.083333333,0,1,0,1
926,N,AHHH Todo el mundo me manda audios y no puedo escuchar canciones tranquila ,"['AHHH', 'Todo', 'el', 'mundo', 'me', 'manda', 'audios', 'y', 'no', 'puedo', 'escuchar', 'canciones', 'tranquila']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
927,P,Con ganas ya de que llegue septiembre Y comenzamos mañana nueva temporada en @DelecturaOblig. #adiosagosto,"['Con', 'ganas', 'ya', 'de', 'que', 'llegue', 'septiembre', 'Y', 'comenzamos', 'mañana', 'nueva', 'temporada', 'en', 'DelecturaOblig', 'adiosagosto']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
928,N,"Despues de todo sigues pendiente de mi y lo sabes, pero autoengañarse is moreee easyy ","['Despues', 'de', 'todo', 'sigues', 'pendiente', 'de', 'mi', 'y', 'lo', 'sabes', 'pero', 'autoengañarse', 'is', 'moreee', 'easyy']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
929,NEU,"@REANYMA @FernandoFabiani No, no, ¡dijo que dejaban de surfear por la cornea! Que se quedaban quietecitas. ","['', 'REANYMA', 'FernandoFabiani', 'No', 'no', 'dijo', 'que', 'dejaban', 'de', 'surfear', 'por', 'la', 'cornea', 'Que', 'se', 'quedaban', 'quietecitas', '']",0,0,0,0,0,0,0,0,0,0,1,0,0,1
930,P,Ya decía yo que lo bueno me iba a llegar tarde o temprano  espero no poder equivocarme,"['Ya', 'decía', 'yo', 'que', 'lo', 'bueno', 'me', 'iba', 'a', 'llegar', 'tarde', 'o', 'temprano', 'espero', 'no', 'poder', 'equivocarme']",0,0.117647059,0,0,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,0.058823529,1,0,0,0
931,P,Y los directos deberían ser totalmente estables (ya que en Madrid solían darme problemas) Se vienen cosas chulas ,"['Y', 'los', 'directos', 'deberían', 'ser', 'totalmente', 'estables', 'ya', 'que', 'en', 'Madrid', 'solían', 'darme', 'problemas', 'Se', 'vienen', 'cosas', 'chulas']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
932,N,"odio a lucia la vd, mi amor hacia ella es una gran tapadera pa comer nutella en su casa ","['odio', 'a', 'lucia', 'la', 'vd', 'mi', 'amor', 'hacia', 'ella', 'es', 'una', 'gran', 'tapadera', 'pa', 'comer', 'nutella', 'en', 'su', 'casa']",0.052631579,0,0.052631579,0.052631579,0.052631579,0.052631579,0.157894737,0.052631579,0,0,0,1,0,0
933,N,nos lo habíamos encontrado y estaba asustado cruzando una carretera y al final nos hemos tenido que marchar sin él. ,"['nos', 'lo', 'habíamos', 'encontrado', 'y', 'estaba', 'asustado', 'cruzando', 'una', 'carretera', 'y', 'al', 'final', 'nos', 'hemos', 'tenido', 'que', 'marchar', 'sin', 'él', '']",0,0,0,0.05,0,0.05,0,0,0.05,0,0,0,1,1
934,P,"@Asukawachan Gracias  ya me pasó una vez y los antibióticos fueron milagrosos, estoy deseando que vuelva mi madre con ellos ","['', 'Asukawachan', 'Gracias', 'ya', 'me', 'pasó', 'una', 'vez', 'y', 'los', 'antibióticos', 'fueron', 'milagrosos', 'estoy', 'deseando', 'que', 'vuelva', 'mi', 'madre', 'con', 'ellos']",0,0.05,0,0,0.05,0.05,0.05,0.05,0,0.05,1,0,0,0
935,NEU,"@MoratoX_ genial, pero ten cuidado está muy vigilado, este está hecho con uno casi de juguete, Syma X5c, casi no entraña riesgo ","['', 'MoratoX', 'genial', 'pero', 'ten', 'cuidado', 'está', 'muy', 'vigilado', 'este', 'está', 'hecho', 'con', 'uno', 'casi', 'de', 'juguete', 'Syma', 'X5c', 'casi', 'no', 'entraña', 'riesgo']",0,0.045454545,0,0.045454545,0.045454545,0.090909091,0.045454545,0.045454545,0,0.045454545,0,0,1,0
936,N,@policia 2 horas esperando en Comisaría Gandia y han atendido a 3 personas! Y solamente para una autorización de viaje a un menor. ,"['', 'policia', '2', 'horas', 'esperando', 'en', 'Comisaría', 'Gandia', 'y', 'han', 'atendido', 'a', '3', 'personas', 'Y', 'solamente', 'para', 'una', 'autorización', 'de', 'viaje', 'a', 'un', 'menor', '']",0,0.086956522,0.043478261,0.043478261,0.043478261,0.043478261,0.086956522,0,0.043478261,0,0,1,0,0
937,NEU,"Manuel Carrasco -Uno x Uno me gusta -Vale -Ok -ta luego maricarmen -no me gusta pero, vamos a decir que lo respeto -me se canciones","['Manuel', 'Carrasco', 'Uno', 'x', 'Uno', 'me', 'gusta', 'Vale', 'Ok', 'ta', 'luego', 'maricarmen', 'no', 'me', 'gusta', 'pero', 'vamos', 'a', 'decir', 'que', 'lo', 'respeto', 'me', 'se', 'canciones']",0,0.04,0,0,0.04,0,0.04,0,0,0.08,0,1,0,0
938,N,"@HormigaZYT Como sé que eres un flipado y no vas a cambiar, enmarca esos defib kills, así tienes el unico award que enseñar a @edureus94 ","['', 'HormigaZYT', 'Como', 'sé', 'que', 'eres', 'un', 'flipado', 'y', 'no', 'vas', 'a', 'cambiar', 'enmarca', 'esos', 'defib', 'kills', 'así', 'tienes', 'el', 'unico', 'award', 'que', 'enseñar', 'a', 'edureus94']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
939,N,"entre odio día tras día, la muerte de su hermana, la muerte de su amiga, el divorcio de sus padres cuando era pequeña, el lupus, etc ","['entre', 'odio', 'día', 'tras', 'día', 'la', 'muerte', 'de', 'su', 'hermana', 'la', 'muerte', 'de', 'su', 'amiga', 'el', 'divorcio', 'de', 'sus', 'padres', 'cuando', 'era', 'pequeña', 'el', 'lupus', 'etc']",0.153846154,0.076923077,0.153846154,0.153846154,0,0.153846154,0,0.153846154,0.115384615,0.038461538,0,0,1,1
940,P,@emanoluz pues te propongo un cambi yo te regalo un poco de mi calor y tú un poquito también de ese frío  un poquito de tu Argentina,"['', 'emanoluz', 'pues', 'te', 'propongo', 'un', 'cambi', 'yo', 'te', 'regalo', 'un', 'poco', 'de', 'mi', 'calor', 'y', 'tú', 'un', 'poquito', 'también', 'de', 'ese', 'frío', 'un', 'poquito', 'de', 'tu', 'Argentina']",0,0.037037037,0,0,0.037037037,0,0.037037037,0,0.037037037,0,0,1,0,1
941,N,"Recuerdo a un podemita al final de una discusión q me dijo en F ""y si nos tienen que robar por lo menos que sean otros""  #MarcaEspaña ","['Recuerdo', 'a', 'un', 'podemita', 'al', 'final', 'de', 'una', 'discusión', 'q', 'me', 'dijo', 'en', 'F', 'y', 'si', 'nos', 'tienen', 'que', 'robar', 'por', 'lo', 'menos', 'que', 'sean', 'otros', 'MarcaEspaña']",0.037037037,0,0.037037037,0.037037037,0,0.037037037,0.037037037,0.037037037,0,0,1,0,0,0
942,NEU,@Chorraera FP lo tiene vetao ,"['', 'Chorraera', 'FP', 'lo', 'tiene', 'vetao']",0,0,0,0,0,0,0,0,0,0,1,0,0,1
943,P,"@DavidArizaAbad buenas noches, David  un abrazo!","['', 'DavidArizaAbad', 'buenas', 'noches', 'David', 'un', 'abrazo', '']",0,0,0,0,0.166666667,0,0.166666667,0,0,0.166666667,0,1,0,1
944,N,Mi TL esta vacía a estas horas ,"['Mi', 'TL', 'esta', 'vacía', 'a', 'estas', 'horas']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
945,NEU,preparándome un colacao pa olvidarme de aquel bacalao... ,"['preparándome', 'un', 'colacao', 'pa', 'olvidarme', 'de', 'aquel', 'bacalao', '']",0,0,0,0,0,0,0,0,0,0,1,0,0,1
946,NEU,@PanchoGustavo tío peguemos al Lau Sigues teniendo mi primer grinder?,"['', 'PanchoGustavo', 'tío', 'peguemos', 'al', 'Lau', 'Sigues', 'teniendo', 'mi', 'primer', 'grinder', '']",0,0,0,0,0,0,0,0,0,0,1,0,0,1
947,N,Ayer me quedé dormido xdddd lo peor esque sigo reventado ,"['Ayer', 'me', 'quedé', 'dormido', 'xdddd', 'lo', 'peor', 'esque', 'sigo', 'reventado']",0.1,0,0,0.2,0,0.2,0,0.1,0,0,0,0,1,1
948,NEU,@cayusollo pues necesito un audio para el próximo episodio ¿te animas? ,"['', 'cayusollo', 'pues', 'necesito', 'un', 'audio', 'para', 'el', 'próximo', 'episodio', 'te', 'animas', '']",0,0,0,0,0,0,0,0,0,0,1,0,0,1
949,N,"No es que ahora no sea feliz, pero antes lo era más ","['No', 'es', 'que', 'ahora', 'no', 'sea', 'feliz', 'pero', 'antes', 'lo', 'era', 'más']",0,0.083333333,0,0,0.083333333,0,0.083333333,0,0,0.083333333,0,1,0,0
950,P,@ia_nav @Los40Trending @dcodefest @LEONBENAVENTETW ten por seguro que si queda libre cuento contigo ,"['', 'ia', 'nav', 'Los40Trending', 'dcodefest', 'LEONBENAVENTETW', 'ten', 'por', 'seguro', 'que', 'si', 'queda', 'libre', 'cuento', 'contigo']",0,0,0,0,0.071428571,0,0.142857143,0,0,0.071428571,0,1,0,1
951,N,@Rokkowen TODOS SIEMPRE tienen carita de super buenos y adorables pero luego la lían ,"['', 'Rokkowen', 'TODOS', 'SIEMPRE', 'tienen', 'carita', 'de', 'super', 'buenos', 'y', 'adorables', 'pero', 'luego', 'la', 'lían']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
952,N,"@RASAMA_ yo puedo cambiar de opinión, de cara es más difícil, porque vale una pasta. ","['', 'RASAMA', 'yo', 'puedo', 'cambiar', 'de', 'opinión', 'de', 'cara', 'es', 'más', 'difícil', 'porque', 'vale', 'una', 'pasta', '']",0,0,0,0,0,0,0,0,0,0.066666667,1,0,0,0
953,N,"@XulioePunto Pues escapó.. Y no lo dimos encontrado, estuvimos al menos 5 personas buscando y nada ","['', 'XulioePunto', 'Pues', 'escapó', 'Y', 'no', 'lo', 'dimos', 'encontrado', 'estuvimos', 'al', 'menos', '5', 'personas', 'buscando', 'y', 'nada']",0,0,0,0,0,0.0625,0,0.0625,0,0,0,0,1,1
954,N,"Voy a soñar con fórmulas matemáticas, historia del mundo y la pasiva en inglés *le explotará la cabesa*","['Voy', 'a', 'soñar', 'con', 'fórmulas', 'matemáticas', 'historia', 'del', 'mundo', 'y', 'la', 'pasiva', 'en', 'inglés', 'le', 'explotará', 'la', 'cabesa', '']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
955,P,"#feliz domingo.. que todos encontremos la gloria bendita, el ocio, la magia, los besos compartidos de amor, el duende..","['', 'feliz', 'domingo', 'que', 'todos', 'encontremos', 'la', 'gloria', 'bendita', 'el', 'ocio', 'la', 'magia', 'los', 'besos', 'compartidos', 'de', 'amor', 'el', 'duende', '']",0,0.157894737,0.052631579,0.052631579,0.210526316,0.052631579,0.210526316,0,0.052631579,0.157894737,0,1,0,1
956,NEU,@dovesandletters @SeveZubiri @Lady_Lolita @teleSURtv ese es Seve que se pone exquisito. Yo más de andar por casa (menos florida) ,"['', 'dovesandletters', 'SeveZubiri', 'Lady', 'Lolita', 'teleSURtv', 'ese', 'es', 'Seve', 'que', 'se', 'pone', 'exquisito', 'Yo', 'más', 'de', 'andar', 'por', 'casa', 'menos', 'florida', '']",0,0,0,0,0.05,0,0.1,0,0,0,0,1,0,0
957,N,@levante_emv @valenciacf Un capullo menos en el Valencia. Si no esta al 100% con el Valencia lo mejor es venderlo. ,"['', 'levante', 'emv', 'valenciacf', 'Un', 'capullo', 'menos', 'en', 'el', 'Valencia', 'Si', 'no', 'esta', 'al', '100', 'con', 'el', 'Valencia', 'lo', 'mejor', 'es', 'venderlo', '']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
958,N,@carlotalotalota Me apena que haya pasado esto porque la idea de crear un colectivo estatal con divisiones locales era algo poderoso ,"['', 'carlotalotalota', 'Me', 'apena', 'que', 'haya', 'pasado', 'esto', 'porque', 'la', 'idea', 'de', 'crear', 'un', 'colectivo', 'estatal', 'con', 'divisiones', 'locales', 'era', 'algo', 'poderoso']",0.047619048,0,0,0.047619048,0.095238095,0,0.095238095,0,0,0.047619048,0,1,0,0
959,P,@EduGalan14  Jaja.Es de bien nacidos ser agradecidos que diría aquel.Tiene el récord de puntos del VCF.Creo q cumplió con lo que había.,"['', 'EduGalan14', 'Jaja', 'Es', 'de', 'bien', 'nacidos', 'ser', 'agradecidos', 'que', 'diría', 'aquel', 'Tiene', 'el', 'récord', 'de', 'puntos', 'del', 'VCF', 'Creo', 'q', 'cumplió', 'con', 'lo', 'que', 'había', '']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
960,N,"@olivares_javier Intentan salvar a Lincoln como Julián con Lorca... Aparte de que es una copia descarada de MdT, no se parecen en nada ","['', 'olivares', 'javier', 'Intentan', 'salvar', 'a', 'Lincoln', 'como', 'Julián', 'con', 'Lorca', 'Aparte', 'de', 'que', 'es', 'una', 'copia', 'descarada', 'de', 'MdT', 'no', 'se', 'parecen', 'en', 'nada']",0,0,0,0,0,0.083333333,0,0.041666667,0,0,0,0,1,1
961,N,Ojala yo presentándome para el concurso de shawn pero como vergonzosa se nace y  seguro que no me dejan participar pues aqui estoy ,"['Ojala', 'yo', 'presentándome', 'para', 'el', 'concurso', 'de', 'shawn', 'pero', 'como', 'vergonzosa', 'se', 'nace', 'y', 'seguro', 'que', 'no', 'me', 'dejan', 'participar', 'pues', 'aqui', 'estoy']",0,0,0,0,0.043478261,0,0.086956522,0,0,0.086956522,0,1,0,0
962,P,Estoy preparando un montón de ideas muy chulas para el canal  poco a poco iremos subiendo el nivel y la calidad de los vídeos ,"['Estoy', 'preparando', 'un', 'montón', 'de', 'ideas', 'muy', 'chulas', 'para', 'el', 'canal', 'poco', 'a', 'poco', 'iremos', 'subiendo', 'el', 'nivel', 'y', 'la', 'calidad', 'de', 'los', 'vídeos']",0,0,0,0,0,0.041666667,0.041666667,0.041666667,0,0.041666667,1,0,0,0
963,P,"@LoretoBazo Stranger y Mr. Robot ya las he visto, pero eres la segunda que me recomienda The get down, así que a por ella voy, gracias! ","['', 'LoretoBazo', 'Stranger', 'y', 'Mr', 'Robot', 'ya', 'las', 'he', 'visto', 'pero', 'eres', 'la', 'segunda', 'que', 'me', 'recomienda', 'The', 'get', 'down', 'así', 'que', 'a', 'por', 'ella', 'voy', 'gracias', '']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
964,NEU,#�NOMBRE?,"['', 'Como', 'sabes', 'que', 'eres', 'bisexual', 'si', 'nunca', 'has', 'estado', 'con', 'una', 'chica', 'Mimimi', 'Porque', 'ayer', 'me', 'lo', 'pase', 'de', 'lo', 'lindo', 'pensando', 'en', 'tu', 'hermana']",0,0,0,0,0,0,0.08,0,0,0,0,1,0,0
965,P,"Voy a jugar mi primera ranked de 10. Hmm no se si la liaré o no, pero bronce V me espera y mañana jugaré poco o nada, so a jugársela ","['Voy', 'a', 'jugar', 'mi', 'primera', 'ranked', 'de', '10', 'Hmm', 'no', 'se', 'si', 'la', 'liaré', 'o', 'no', 'pero', 'bronce', 'V', 'me', 'espera', 'y', 'mañana', 'jugaré', 'poco', 'o', 'nada', 'so', 'a', 'jugársela']",0,0,0,0,0,0.066666667,0,0.033333333,0,0,0,0,1,0
966,N,Soy un chico muy perverso ,"['Soy', 'un', 'chico', 'muy', 'perverso']",0.2,0,0.2,0.2,0,0.4,0,0.2,0,0,0,0,1,1
967,P,"@ladykumaria tranquila, te seguimos queriendo igual ","['', 'ladykumaria', 'tranquila', 'te', 'seguimos', 'queriendo', 'igual']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
968,N,Estoy sensible y lloro por todo y ,"['Estoy', 'sensible', 'y', 'lloro', 'por', 'todo', 'y']",0,0.142857143,0,0,0,0,0.142857143,0,0,0.142857143,0,1,0,0
969,P,@sabrygarciarena Muy sexy Sabrina! Besitos y feliz día! ,"['', 'sabrygarciarena', 'Muy', 'sexy', 'Sabrina', 'Besitos', 'y', 'feliz', 'día', '']",0,0.125,0,0,0.125,0.125,0.125,0.125,0,0.125,1,0,0,0
970,N,@__mxty Para cuando me escribes mi nombre bien precioso ,"['', 'mxty', 'Para', 'cuando', 'me', 'escribes', 'mi', 'nombre', 'bien', 'precioso']",0,0.111111111,0,0,0.111111111,0,0.111111111,0.111111111,0.111111111,0.111111111,0,1,0,0
971,P,Inteligente respuesta de Putin,"['Inteligente', 'respuesta', 'de', 'Putin']",0,0,0,0,0,0,0.25,0,0,0.25,0,1,0,1
972,NEU,@FridaCoral ven a chetu mejor,"['', 'FridaCoral', 'ven', 'a', 'chetu', 'mejor']",0,0,0,0,0,0,0,0,0,0,1,0,0,1
973,N,Danniel es como mi amor frustrado,"['Danniel', 'es', 'como', 'mi', 'amor', 'frustrado']",0.166666667,0,0,0,0.166666667,0.166666667,0.166666667,0,0,0,1,0,0,0
974,N,#EsDeMexicanos dejar todo para el último día.,"['', 'EsDeMexicanos', 'dejar', 'todo', 'para', 'el', 'último', 'día', '']",0,0,0,0,0,0.142857143,0,0.142857143,0.142857143,0,0,0,1,1
975,P,"Estoy aprendiendo a hacer lo mismo, pero diferente","['Estoy', 'aprendiendo', 'a', 'hacer', 'lo', 'mismo', 'pero', 'diferente']",0,0,0,0,0,0,0.125,0,0,0,0,1,0,1
976,N,Solo a los fav responde celosa mil @belindapop #AskBeli,"['Solo', 'a', 'los', 'fav', 'responde', 'celosa', 'mil', 'belindapop', 'AskBeli']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
977,P,Si pudiera adoptaría a todos los perros y gatos abandonados,"['Si', 'pudiera', 'adoptaría', 'a', 'todos', 'los', 'perros', 'y', 'gatos', 'abandonados']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
978,N,@khareniafdz busco a Rodrigo en donde lo tienes ya lo extraño,"['', 'khareniafdz', 'busco', 'a', 'Rodrigo', 'en', 'donde', 'lo', 'tienes', 'ya', 'lo', 'extraño']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
979,N,@lucinda_potter Extraño cuando era el único miembro de Lunes 28 que iba,"['', 'lucinda', 'potter', 'Extraño', 'cuando', 'era', 'el', 'único', 'miembro', 'de', 'Lunes', '28', 'que', 'iba']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
980,NEU,@abstractjoerick Podrías ayudarme con un RT aquí por favor? Ten una linda noche,"['', 'abstractjoerick', 'Podrías', 'ayudarme', 'con', 'un', 'RT', 'aquí', 'por', 'favor', 'Ten', 'una', 'linda', 'noche']",0,0,0,0,0,0,0,0,0,0,1,0,0,1
981,N,"Como ya no puedo caminar, lo único en lo que pienso es en comida","['Como', 'ya', 'no', 'puedo', 'caminar', 'lo', 'único', 'en', 'lo', 'que', 'pienso', 'es', 'en', 'comida']",0,0,0,0,0.071428571,0,0.071428571,0,0,0.071428571,0,1,0,0
982,N,@dimefer_ Ya estoy contando los días para volver a vernos y todavía ni me voy,"['', 'dimefer', 'Ya', 'estoy', 'contando', 'los', 'días', 'para', 'volver', 'a', 'vernos', 'y', 'todavía', 'ni', 'me', 'voy']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
983,NEU,@andresg9108 y que los demas solo den npm install y se instalen los paquetes guardados previamente,"['', 'andresg9108', 'y', 'que', 'los', 'demas', 'solo', 'den', 'npm', 'install', 'y', 'se', 'instalen', 'los', 'paquetes', 'guardados', 'previamente']",0,0,0,0,0,0,0,0,0,0,1,0,0,1
984,P,Los que tengan credencial de la UNAM comprenme boletos para el partido y luego se los pago,"['Los', 'que', 'tengan', 'credencial', 'de', 'la', 'UNAM', 'comprenme', 'boletos', 'para', 'el', 'partido', 'y', 'luego', 'se', 'los', 'pago']",0,0,0,0,0,0.058823529,0.058823529,0,0,0.058823529,1,0,0,0
985,P,"@Olallo_Rubio genial tu último Podcast... El de ""¿qué hubieran hecho ustedes?"" Ya quiero que salga la segunda parte","['', 'Olallo', 'Rubio', 'genial', 'tu', 'último', 'Podcast', 'El', 'de', 'qué', 'hubieran', 'hecho', 'ustedes', 'Ya', 'quiero', 'que', 'salga', 'la', 'segunda', 'parte']",0,0,0,0,0.052631579,0,0.052631579,0,0,0.052631579,0,1,0,1
986,NEU,"@rctorr si hace unos dias vi eso, igual este viernes pase x el gato rollero cc @Chemasmas @Ritalin_P @HackeaMesta","['', 'rctorr', 'si', 'hace', 'unos', 'dias', 'vi', 'eso', 'igual', 'este', 'viernes', 'pase', 'x', 'el', 'gato', 'rollero', 'cc', 'Chemasmas', 'Ritalin', 'P', 'HackeaMesta']",0,0,0,0,0,0,0,0,0,0,1,0,0,1
987,P,@ElaKageyama A mi me agrada sentirme cansado me imagino que soy como Rocky apunto de pelear contra Draco y así.,"['', 'ElaKageyama', 'A', 'mi', 'me', 'agrada', 'sentirme', 'cansado', 'me', 'imagino', 'que', 'soy', 'como', 'Rocky', 'apunto', 'de', 'pelear', 'contra', 'Draco', 'y', 'así', '']",0,0,0,0,0,0.05,0,0.05,0,0,0,0,1,0
988,N,"Yo y mi melancolía Mis días trágicos de depresión y no quiero hacer nada, no trabajo, no salir, me siento vacía","['Yo', 'y', 'mi', 'melancolía', 'Mis', 'días', 'trágicos', 'de', 'depresión', 'y', 'no', 'quiero', 'hacer', 'nada', 'no', 'trabajo', 'no', 'salir', 'me', 'siento', 'vacía']",0,0.095238095,0,0,0.047619048,0.047619048,0.095238095,0.095238095,0.047619048,0.047619048,0,1,0,0
989,N,No es chido que te copien todo lo que pones eso quiere decir que a ella no le sale del corazón escribirles....,"['No', 'es', 'chido', 'que', 'te', 'copien', 'todo', 'lo', 'que', 'pones', 'eso', 'quiere', 'decir', 'que', 'a', 'ella', 'no', 'le', 'sale', 'del', 'corazón', 'escribirles', '']",0,0,0,0,0.045454545,0,0.045454545,0,0,0.045454545,0,1,0,0
990,P,"Gracias a Comedy Central y MTV voy a estar en la nueva temporada de South Park, no se la pierdan [naa.. solo me…","['Gracias', 'a', 'Comedy', 'Central', 'y', 'MTV', 'voy', 'a', 'estar', 'en', 'la', 'nueva', 'temporada', 'de', 'South', 'Park', 'no', 'se', 'la', 'pierdan', 'naa', 'solo', 'me', '']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
991,N,"No quiero trabajar porque ayer yoosung me llamó y no le respondí, si hoy me pasa lo mismo me suicido, quiero escuchar su voz","['No', 'quiero', 'trabajar', 'porque', 'ayer', 'yoosung', 'me', 'llamó', 'y', 'no', 'le', 'respondí', 'si', 'hoy', 'me', 'pasa', 'lo', 'mismo', 'me', 'suicido', 'quiero', 'escuchar', 'su', 'voz']",0,0,0,0,0,0,0,0,0,0,1,0,0,0
992,N,"Dice el doctor que sospecha que las lesiones sean de marisco pegajoso por eso tomo biopsias. - Se llama molusco contagioso - Ah, si, eso.","['Dice', 'el', 'doctor', 'que', 'sospecha', 'que', 'las', 'lesiones', 'sean', 'de', 'marisco', 'pegajoso', 'por', 'eso', 'tomo', 'biopsias', 'Se', 'llama', 'molusco', 'contagioso', 'Ah', 'si', 'eso', '']",0,0,0.086956522,0.086956522,0,0.086956522,0,0,0,0,0,0,1,1
